eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CALSEF01_EVE001	high	100	viral (8)	VDB (5), UDB Viruses (3)	CALSEF010000005.1_9107452-9107739:-	3.22e-8	27.6	Glycoprotein n=2 Tax=Wuhan Mosquito Virus 9  RepID=A0A8B0RLA0_9RHAB	Glycoprotein n=2 Tax=Wuhan Mosquito Virus 9  RepID=A0A8B0RLA0_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Wuhan Mosquito Virus 9	unclassified Viruses phylum
CALSEF01_EVE002	high	100	viral (5)	VDB (5)	CALSEF010000022.1_240756-240864:-	1.71e-10	63.9	putative glycoprotein [Gambie virus] acc=AOR51379.1 	putative glycoprotein [Gambie virus] acc=AOR51379.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
CALSEF01_EVE003	high	100	viral (21)	VDB (15), UDB Viruses (6)	CALSEF010000022.1_265633-266122:-	4.06e-46	54.5	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
CALSEF01_EVE004	high	100	viral (11)	VDB (8), UDB Viruses (3)	CALSEF010000022.1_272467-273203:-	6.24e-49	43	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
CALSEF01_EVE005	high	100	viral (2)	UDB Viruses (1), VDB (1)	CALSEF010000022.1_275586-276761:-	1.43e-13	22.6	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
CALSEF01_EVE006	high	100	viral (17)	VDB (16), UDB Viruses (1)	CALSEF010000025.1_2060795-2061025:+	8.57e-17	46.8	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
CALSEF01_EVE007	high	100	viral (9)	VDB (8), UDB Viruses (1)	CALSEF010000025.1_2061895-2062083:+	6.45e-14	50.8	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
CALSEF01_EVE008	high	100	viral (6)	VDB (4), UDB Viruses (2)	CALSEF010000025.1_2066972-2067673:+	1.02e-26	32.7	putative nucleoprotein [Bolahun virus variant 1] acc=AOR51368.1 	putative nucleoprotein [Bolahun virus variant 1] acc=AOR51368.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Bolahun virus variant 1	Negarnaviricota
CALSEF01_EVE009	high	100	viral (20)	VDB (15), UDB Viruses (5)	CALSEF010000025.1_2072567-2073150:+	6.17e-65	49.6	hypothetical protein 1 [Hypsignathus monstrosus tombus-like virus 1] acc=AZS32325.1 	hypothetical protein 1 [Hypsignathus monstrosus tombus-like virus 1] acc=AZS32325.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Tolucaviricetes;o__Tolivirales;f__Tombusviridae;g__unclassified Tombusviridae genus;s__Hypsignathus monstrosus tombus-like virus 1	Kitrinoviricota
CALSEF01_EVE010	high	100	viral (17)	VDB (13), UDB Viruses (4)	CALSEF010000035.1_1867822-1868047:+	8.99e-16	47.6	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
CALSEF01_EVE011	high	100	viral (9)	VDB (7), UDB Viruses (2)	CALSEF010000050.1_147020-147354:-	7.160000000000001e-29	49.2	polyprotein [Karumba virus] acc=YP_009388577.1 	polyprotein [Karumba virus] acc=YP_009388577.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Karumba virus	Kitrinoviricota
CALSEF01_EVE012	high	100	viral (9)	VDB (6), UDB Viruses (3)	CALSEF010000074.1_813972-814416:-	3.17e-60	61.1	glycoprotein [Anopheles bunyavirus 1] acc=BEK62754.1 	glycoprotein [Anopheles bunyavirus 1] acc=BEK62754.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Anopheles bunyavirus 1	Negarnaviricota
CALSEF01_EVE013	high	100	viral (1)	VDB (1)	CALSEF010000074.1_816845-816992:-	2.93e-15	73.5	glycoprotein [Anopheles bunyavirus 1] acc=BEK62754.1 	glycoprotein [Anopheles bunyavirus 1] acc=BEK62754.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Anopheles bunyavirus 1	Negarnaviricota
CALSEF01_EVE014	high	100	viral (1)	VDB (1)	CALSEF010000074.1_819882-820029:-	2.93e-15	73.5	glycoprotein [Anopheles bunyavirus 1] acc=BEK62754.1 	glycoprotein [Anopheles bunyavirus 1] acc=BEK62754.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Anopheles bunyavirus 1	Negarnaviricota
CALSEF01_EVE015	high	100	viral (2)	capsid (1), VDB (1)	CALSEF010000094.1_361278-361895:+	8.01e-45	42.1	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75795.1 	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75795.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	Arthropoda
CALSEF01_EVE016	high	100	viral (20)	VDB (13), UDB Viruses (7)	CALSEF010000094.1_361944-362686:+	1.16e-18	30.7	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
CALSEF01_EVE017	high	100	viral (16)	VDB (10), UDB Viruses (6)	CALSEF010000385.1_514654-515133:-	1.31e-76	74.1	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
