eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
VTWG01_EVE001	high	100	viral (1)	VDB (1)	VTWG01004401.1_21213-21395:-	9.41e-9	39.1	E5 [Human papillomavirus type 85] acc=YP_009362311.1 	E5 [Human papillomavirus type 85] acc=YP_009362311.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__unclassified Papillomaviridae genus;s__Human papillomavirus type 85	Cossaviricota
VTWG01_EVE002	high	100	viral (21)	VDB (14), UDB Viruses (7)	VTWG01006301.1_73-867:+	7.979999999999999e-72	46.8	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
VTWG01_EVE003	high	100	viral (1)	VDB (1)	VTWG01017059.1_3-142:+	4.63e-12	66	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
VTWG01_EVE004	high	100	viral (9)	VDB (8), UDB Viruses (1)	VTWG01044319.1_53-397:+	1.77e-13	40.9	putative nucleocapsid protein [Hameenlinna phasivirus] acc=UYL94377.1 	putative nucleocapsid protein [Hameenlinna phasivirus] acc=UYL94377.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__Phasivirus;s__Hameenlinna phasivirus	Negarnaviricota
VTWG01_EVE005	high	100	viral (2)	VDB (2)	VTWG01046375.1_1-138:+	2.03e-13	65.2	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
VTWG01_EVE006	high	100	viral (1)	VDB (1)	VTWG01065098.1_363-626:+	4.41e-7	33	polyprotein [Lily virus A] acc=WBU15493.1 	polyprotein [Lily virus A] acc=WBU15493.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__Potyvirus;s__Lily virus A	Pisuviricota
VTWG01_EVE007	high	100	viral (15)	VDB (9), UDB Viruses (6)	VTWG01066610.1_1969-3259:+	1.7499999999999998e-204	65.2	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
VTWG01_EVE008	high	96	viral (20), non-viral (1)	VDB (15), UDB Viruses (5), annotated protein of Eukaryota (1)	VTWG01014413.1_158-1399:-	1.61e-83	35.8	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
VTWG01_EVE009	high	94	viral (10), non-viral (1)	VDB (6), UDB Viruses (4), annotated protein of unclassified root superkingdom (1)	VTWG01015507.1_614-2185:+	8.89e-165	46.1	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
VTWG01_EVE010	high	85	viral (13), maybe-viral (2)	VDB (8), UDB Viruses (5), uncharacterized protein (2)	VTWG01029723.1_26965-27447:+	2.43e-33	55	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
